Cluster,Population,MeanRMSD,currentEnergy min,currentEnergy 5-percentile,currentEnergy 25-percentile,currentEnergy mean,currentEnergy 75-percentile,currentEnergy 95-percentile,currentEnergy max,currentEnergy standard deviation,Binding Energy min,Binding Energy 5-percentile,Binding Energy 25-percentile,Binding Energy mean,Binding Energy 75-percentile,Binding Energy 95-percentile,Binding Energy max,Binding Energy standard deviation,sasaLig min,sasaLig 5-percentile,sasaLig 25-percentile,sasaLig mean,sasaLig 75-percentile,sasaLig 95-percentile,sasaLig max,sasaLig standard deviation,Selected labels
9,0.015574302401038288,0.7645369603018883,-9877.03,-9874.9925,-9872.682499999999,-9870.691562499998,-9868.3575,-9867.23,-9867.06,2.5753686338581465,-19.2539,-18.725625,-17.5175,-16.021787500000002,-14.553025,-13.31785,-11.8298,1.8632515563776542,0.0301825,0.035212400000000005,0.043848000000000005,0.06581765833333335,0.07868534999999999,0.094629275,0.129413,0.019903003171070414,-
25,0.001946787800129786,1.0918409305407402,-9875.94,-9873.597,-9870.7675,-9870.463333333333,-9869.1875,-9868.1325,-9867.72,1.988225059919057,-19.999,-18.393385,-14.680150000000001,-14.172749999999999,-12.4664,-11.682095,-11.4385,2.413385913849392,0.0729272,0.08085743,0.0918505,0.10455858333333334,0.11434,0.1279166,0.135126,0.016457869821903507,-
12,0.01281635301752109,0.8161955069115541,-9876.59,-9875.173,-9873.310000000001,-9871.771898734178,-9869.925,-9868.726,-9867.67,2.1566506356916237,-24.9749,-24.30249,-23.07575,-21.867145569620252,-20.6392,-19.046440000000008,-16.2069,1.8507656827937335,0.0184527,0.02483413,0.03651295,0.0447624670886076,0.053559899999999994,0.06543914999999999,0.0745585,0.01240394219183605,-
17,0.009571706683971446,0.8481527965409436,-9886.81,-9878.173,-9874.615,-9872.599322033899,-9870.265,-9867.859,-9866.99,3.769260083127701,-34.2647,-29.66456,-27.4586,-25.481822033898304,-23.101599999999998,-20.001780000000004,-17.8935,3.2167648889638234,0.00328458,0.008202572,0.0134255,0.023715821694915255,0.0295581,0.041196019999999986,0.0504151,0.010572451245711642,-
24,0.002109020116807268,0.7803410196484568,-9877.01,-9875.558,-9872.85,-9872.18153846154,-9870.88,-9869.377999999999,-9867.98,2.0817922979006327,-23.6339,-23.60378,-22.9909,-22.34833076923077,-21.3565,-20.89544,-20.822,0.9797051930081316,0.0183736,0.0194554,0.0283993,0.03127776153846154,0.0341274,0.04414527999999998,0.0529471,0.008232587600556,-
27,0.000973393900064893,0.8117643118683562,-9876.33,-9875.535,-9872.6125,-9871.296666666667,-9869.73,-9868.137499999999,-9867.64,2.7871949260064475,-23.9487,-23.44465,-21.446725,-20.246266666666667,-19.579500000000003,-17.202875,-16.416,2.3143523634533745,0.0273208,0.032732225000000004,0.049809025,0.05214423333333334,0.059001450000000004,0.067886875,0.0701901,0.013107741214090076,-
22,0.001946787800129786,0.7001164995864122,-9874.65,-9874.485,-9872.877499999999,-9871.275833333331,-9870.2775,-9867.657,-9867.47,2.3208061039696246,-22.1378,-21.531534999999998,-20.916025,-20.479208333333336,-20.140774999999998,-19.256415,-19.1193,0.7724985420248734,0.0201532,0.02201176,0.02459145,0.04183557500000001,0.0545051,0.060108554999999994,0.0652576,0.015618925251337719,-
23,0.0022712524334847503,0.7136123391186634,-9878.02,-9878.013500000001,-9877.1125,-9875.262142857142,-9873.122500000001,-9870.832999999999,-9868.74,2.7260703758118185,-21.3257,-21.130895,-20.6562,-19.616314285714285,-18.937849999999997,-17.149735,-16.9288,1.3049751748362024,0.074418,0.08078318999999999,0.08526935,0.08969135714285714,0.09498255,0.09897862,0.100542,0.0067861219126889825,-
28,0.0003244646333549643,0.408927805364224,-9871.96,-9871.942,-9871.869999999999,-9871.779999999999,-9871.69,-9871.618,-9871.6,0.17999999999938154,-14.3519,-14.307355000000001,-14.129175,-13.90645,-13.683725,-13.505545,-13.461,0.4454500000000001,0.0913229,0.092059905,0.095007925,0.09869295,0.10237797500000001,0.105325995,0.106063,0.007370050000000003,-
33,0.0004866969500324465,0.6496786207709556,-9876.27,-9875.885,-9874.345000000001,-9871.97,-9869.82,-9867.74,-9867.22,3.7083239700260835,-23.833,-23.65549,-22.94545,-22.189600000000002,-21.3679,-20.815900000000003,-20.6779,1.2914262580573452,0.0299859,0.03050736,0.0325932,0.042208600000000006,0.04831995,0.058815509999999994,0.0614394,0.01376386003924771,-
32,0.00016223231667748214,0.0,-9869.43,-9869.43,-9869.43,-9869.43,-9869.43,-9869.43,-9869.43,0.0,-18.3659,-18.3659,-18.3659,-18.3659,-18.3659,-18.3659,-18.3659,0.0,0.0684405,0.0684405,0.0684405,0.0684405,0.0684405,0.0684405,0.0684405,0.0,-
