Cluster,Population,MeanRMSD,currentEnergy min,currentEnergy 5-percentile,currentEnergy 25-percentile,currentEnergy mean,currentEnergy 75-percentile,currentEnergy 95-percentile,currentEnergy max,currentEnergy standard deviation,sasaLig min,sasaLig 5-percentile,sasaLig 25-percentile,sasaLig mean,sasaLig 75-percentile,sasaLig 95-percentile,sasaLig max,sasaLig standard deviation,Selected labels
85,0.002011060834590246,0.6428932144974415,-23.286,-23.050035,-22.106175,-21.43615,-20.398225,-20.337325,-20.3221,1.2005103591806285,0.974891,0.97646135,0.98274275,0.9864535,0.99135025,0.99478525,0.995644,0.007605296328875038,-
584,0.0005027652086475615,0.0,-19.8808,-19.8808,-19.8808,-19.8808,-19.8808,-19.8808,-19.8808,0.0,0.991122,0.991122,0.991122,0.991122,0.991122,0.991122,0.991122,0.0,-
296,0.0005027652086475615,0.0,-22.8521,-22.8521,-22.8521,-22.8521,-22.8521,-22.8521,-22.8521,0.0,0.982308,0.982308,0.982308,0.982308,0.982308,0.982308,0.982308,0.0,-
453,0.0005027652086475615,0.0,-21.8824,-21.8824,-21.8824,-21.8824,-21.8824,-21.8824,-21.8824,0.0,0.94819,0.94819,0.94819,0.94819,0.94819,0.94819,0.94819,0.0,-
183,0.001005530417295123,0.37919177206263316,-23.998,-23.958135000000002,-23.798675000000003,-23.59935,-23.400025,-23.240565,-23.2007,0.39864999999999995,0.971515,0.97170035,0.97244175,0.9733685000000001,0.9742952500000001,0.9750366500000001,0.975222,0.001853500000000008,-
493,0.0005027652086475615,0.0,-25.1125,-25.1125,-25.1125,-25.1125,-25.1125,-25.1125,-25.1125,0.0,0.983677,0.983677,0.983677,0.983677,0.983677,0.983677,0.983677,0.0,-
623,0.0005027652086475615,0.0,-20.6505,-20.6505,-20.6505,-20.6505,-20.6505,-20.6505,-20.6505,0.0,0.973259,0.973259,0.973259,0.973259,0.973259,0.973259,0.973259,0.0,-
456,0.0005027652086475615,0.0,-20.228,-20.228,-20.228,-20.228,-20.228,-20.228,-20.228,0.0,0.978903,0.978903,0.978903,0.978903,0.978903,0.978903,0.978903,0.0,-
618,0.0005027652086475615,0.0,-23.4718,-23.4718,-23.4718,-23.4718,-23.4718,-23.4718,-23.4718,0.0,0.973661,0.973661,0.973661,0.973661,0.973661,0.973661,0.973661,0.0,-
410,0.0005027652086475615,0.0,-22.6336,-22.6336,-22.6336,-22.6336,-22.6336,-22.6336,-22.6336,0.0,0.991904,0.991904,0.991904,0.991904,0.991904,0.991904,0.991904,0.0,-
684,0.0005027652086475615,0.0,-20.9328,-20.9328,-20.9328,-20.9328,-20.9328,-20.9328,-20.9328,0.0,0.976359,0.976359,0.976359,0.976359,0.976359,0.976359,0.976359,0.0,-
439,0.0005027652086475615,0.0,-25.7024,-25.7024,-25.7024,-25.7024,-25.7024,-25.7024,-25.7024,0.0,0.988016,0.988016,0.988016,0.988016,0.988016,0.988016,0.988016,0.0,-
382,0.0005027652086475615,0.0,-22.8075,-22.8075,-22.8075,-22.8075,-22.8075,-22.8075,-22.8075,0.0,0.990244,0.990244,0.990244,0.990244,0.990244,0.990244,0.990244,0.0,-
191,0.001005530417295123,0.25484112697914396,-23.5486,-23.462285,-23.117024999999998,-22.68545,-22.253875,-21.908614999999998,-21.8223,0.863150000000001,0.970645,0.97106425,0.97274125,0.9748375,0.9769337499999999,0.97861075,0.97903,0.004192499999999988,-
480,0.0005027652086475615,0.0,-20.6074,-20.6074,-20.6074,-20.6074,-20.6074,-20.6074,-20.6074,0.0,0.982764,0.982764,0.982764,0.982764,0.982764,0.982764,0.982764,0.0,-
643,0.0005027652086475615,0.0,-21.2274,-21.2274,-21.2274,-21.2274,-21.2274,-21.2274,-21.2274,0.0,0.994831,0.994831,0.994831,0.994831,0.994831,0.994831,0.994831,0.0,-
637,0.0005027652086475615,0.0,-19.9688,-19.9688,-19.9688,-19.9688,-19.9688,-19.9688,-19.9688,0.0,0.96669,0.96669,0.96669,0.96669,0.96669,0.96669,0.96669,0.0,-
695,0.0005027652086475615,0.0,-26.8255,-26.8255,-26.8255,-26.8255,-26.8255,-26.8255,-26.8255,0.0,0.991011,0.991011,0.991011,0.991011,0.991011,0.991011,0.991011,0.0,-
617,0.0005027652086475615,0.0,-20.5372,-20.5372,-20.5372,-20.5372,-20.5372,-20.5372,-20.5372,0.0,0.996387,0.996387,0.996387,0.996387,0.996387,0.996387,0.996387,0.0,-
56,0.0030165912518853697,0.8404376487440773,-22.9513,-22.74205,-22.111975,-21.555933333333332,-21.040375,-20.1219,-19.8541,0.9902225518650961,0.93353,0.93371975,0.93744375,0.9568363333333334,0.9683135,0.99013725,0.996305,0.022095184427582605,-
171,0.002011060834590246,1.0083327040232697,-22.0793,-22.052554999999998,-21.945574999999998,-21.090475,-20.2455,-20.11422,-20.0814,0.9051923259037278,0.942177,0.94242945,0.9434392500000001,0.9569354999999999,0.9689712500000001,0.97348625,0.974615,0.014181507439267505,-
309,0.0005027652086475615,0.0,-20.7811,-20.7811,-20.7811,-20.7811,-20.7811,-20.7811,-20.7811,0.0,0.972117,0.972117,0.972117,0.972117,0.972117,0.972117,0.972117,0.0,-
440,0.0005027652086475615,0.0,-22.6142,-22.6142,-22.6142,-22.6142,-22.6142,-22.6142,-22.6142,0.0,0.940938,0.940938,0.940938,0.940938,0.940938,0.940938,0.940938,0.0,-
142,0.0015082956259426848,0.490098343487028,-25.1236,-25.052039999999998,-24.7658,-24.6224,-24.3718,-24.34284,-24.3356,0.3556323194911656,0.995013,0.9955048000000001,0.997472,0.9990046666666667,1.0010005,1.0018561,1.00207,0.002954531246896677,-
186,0.001005530417295123,0.2841848870014026,-24.4626,-24.4557,-24.4281,-24.3936,-24.359099999999998,-24.331500000000002,-24.3246,0.06899999999999906,0.986741,0.98704525,0.98826225,0.9897834999999999,0.99130475,0.99252175,0.992826,0.0030425000000000035,-
571,0.0005027652086475615,0.0,-22.5873,-22.5873,-22.5873,-22.5873,-22.5873,-22.5873,-22.5873,0.0,0.992611,0.992611,0.992611,0.992611,0.992611,0.992611,0.992611,0.0,-
718,0.0005027652086475615,0.0,-23.705,-23.705,-23.705,-23.705,-23.705,-23.705,-23.705,0.0,0.985231,0.985231,0.985231,0.985231,0.985231,0.985231,0.985231,0.0,-
704,0.0005027652086475615,0.0,-21.3779,-21.3779,-21.3779,-21.3779,-21.3779,-21.3779,-21.3779,0.0,0.941494,0.941494,0.941494,0.941494,0.941494,0.941494,0.941494,0.0,-
378,0.0005027652086475615,0.0,-22.2425,-22.2425,-22.2425,-22.2425,-22.2425,-22.2425,-22.2425,0.0,0.958275,0.958275,0.958275,0.958275,0.958275,0.958275,0.958275,0.0,-
124,0.0015082956259426848,0.4968451123034816,-21.8548,-21.81889,-21.67525,-21.566599999999998,-21.4225,-21.36394,-21.3493,0.21237179662092676,0.923817,0.9269417,0.9394405,0.9462510000000001,0.957468,0.9593912,0.959872,0.0159842106050523,-
338,0.0005027652086475615,0.0,-20.8,-20.8,-20.8,-20.8,-20.8,-20.8,-20.8,0.0,0.963603,0.963603,0.963603,0.963603,0.963603,0.963603,0.963603,0.0,-
279,0.0005027652086475615,0.0,-20.8597,-20.8597,-20.8597,-20.8597,-20.8597,-20.8597,-20.8597,0.0,0.965225,0.965225,0.965225,0.965225,0.965225,0.965225,0.965225,0.0,-
272,0.0005027652086475615,0.0,-22.3426,-22.3426,-22.3426,-22.3426,-22.3426,-22.3426,-22.3426,0.0,0.962859,0.962859,0.962859,0.962859,0.962859,0.962859,0.962859,0.0,-
305,0.0005027652086475615,0.0,-20.5334,-20.5334,-20.5334,-20.5334,-20.5334,-20.5334,-20.5334,0.0,0.969603,0.969603,0.969603,0.969603,0.969603,0.969603,0.969603,0.0,-
333,0.0005027652086475615,0.0,-21.8461,-21.8461,-21.8461,-21.8461,-21.8461,-21.8461,-21.8461,0.0,0.968569,0.968569,0.968569,0.968569,0.968569,0.968569,0.968569,0.0,-
169,0.001005530417295123,0.4677060508481801,-22.9078,-22.803825000000003,-22.387925000000003,-21.86805,-21.348174999999998,-20.932275,-20.8283,1.0397500000000015,0.924813,0.925107,0.926283,0.927753,0.929223,0.930399,0.930693,0.002939999999999998,-
371,0.0005027652086475615,0.0,-22.0642,-22.0642,-22.0642,-22.0642,-22.0642,-22.0642,-22.0642,0.0,0.959515,0.959515,0.959515,0.959515,0.959515,0.959515,0.959515,0.0,-
490,0.0005027652086475615,0.0,-20.8163,-20.8163,-20.8163,-20.8163,-20.8163,-20.8163,-20.8163,0.0,0.957959,0.957959,0.957959,0.957959,0.957959,0.957959,0.957959,0.0,-
214,0.001005530417295123,0.5546855415458386,-20.565,-20.56202,-20.5501,-20.535200000000003,-20.520300000000002,-20.508380000000002,-20.5054,0.029799999999999827,0.953613,0.9540159500000001,0.95562775,0.9576425,0.95965725,0.96126905,0.961672,0.004029499999999964,-
128,0.0015082956259426848,0.3405963099506377,-22.2096,-22.02159,-21.26955,-20.859733333333335,-20.1848,-20.069039999999998,-20.0401,0.9617841418715297,0.94655,0.9475165,0.9513825,0.9534183333333334,0.9568525,0.9573625,0.95749,0.004884458914648461,-
29,0.002513826043237808,0.7276647301833601,-24.2327,-24.126360000000002,-23.701,-23.542440000000003,-23.4398,-22.799960000000002,-22.64,0.5197980861834718,0.974241,0.9763976,0.985024,0.9907908000000001,0.999971,1.0017702000000002,1.00222,0.010246649001502907,-
628,0.0005027652086475615,0.0,-24.8599,-24.8599,-24.8599,-24.8599,-24.8599,-24.8599,-24.8599,0.0,0.988242,0.988242,0.988242,0.988242,0.988242,0.988242,0.988242,0.0,-
567,0.0005027652086475615,0.0,-20.4823,-20.4823,-20.4823,-20.4823,-20.4823,-20.4823,-20.4823,0.0,0.988833,0.988833,0.988833,0.988833,0.988833,0.988833,0.988833,0.0,-
444,0.0005027652086475615,0.0,-20.4836,-20.4836,-20.4836,-20.4836,-20.4836,-20.4836,-20.4836,0.0,0.990317,0.990317,0.990317,0.990317,0.990317,0.990317,0.990317,0.0,-
232,0.001005530417295123,0.47226020370130706,-26.6132,-26.2978,-25.0362,-23.4592,-21.882199999999997,-20.6206,-20.3052,3.154,0.991191,0.99121095,0.99129075,0.9913905000000001,0.99149025,0.99157005,0.99159,0.0001994999999999636,-
529,0.0005027652086475615,0.0,-21.5293,-21.5293,-21.5293,-21.5293,-21.5293,-21.5293,-21.5293,0.0,0.999647,0.999647,0.999647,0.999647,0.999647,0.999647,0.999647,0.0,-
486,0.0005027652086475615,0.0,-20.1935,-20.1935,-20.1935,-20.1935,-20.1935,-20.1935,-20.1935,0.0,0.991625,0.991625,0.991625,0.991625,0.991625,0.991625,0.991625,0.0,-
647,0.0005027652086475615,0.0,-21.891,-21.891,-21.891,-21.891,-21.891,-21.891,-21.891,0.0,1.00499,1.00499,1.00499,1.00499,1.00499,1.00499,1.00499,0.0,-
714,0.0005027652086475615,0.0,-20.9278,-20.9278,-20.9278,-20.9278,-20.9278,-20.9278,-20.9278,0.0,0.946028,0.946028,0.946028,0.946028,0.946028,0.946028,0.946028,0.0,-
450,0.0005027652086475615,0.0,-19.9315,-19.9315,-19.9315,-19.9315,-19.9315,-19.9315,-19.9315,0.0,0.989078,0.989078,0.989078,0.989078,0.989078,0.989078,0.989078,0.0,-
405,0.0005027652086475615,0.0,-22.5633,-22.5633,-22.5633,-22.5633,-22.5633,-22.5633,-22.5633,0.0,0.980037,0.980037,0.980037,0.980037,0.980037,0.980037,0.980037,0.0,-
482,0.0005027652086475615,0.0,-20.4861,-20.4861,-20.4861,-20.4861,-20.4861,-20.4861,-20.4861,0.0,0.977608,0.977608,0.977608,0.977608,0.977608,0.977608,0.977608,0.0,-
636,0.0005027652086475615,0.0,-25.204,-25.204,-25.204,-25.204,-25.204,-25.204,-25.204,0.0,0.969071,0.969071,0.969071,0.969071,0.969071,0.969071,0.969071,0.0,-
583,0.0005027652086475615,0.0,-23.9905,-23.9905,-23.9905,-23.9905,-23.9905,-23.9905,-23.9905,0.0,0.972572,0.972572,0.972572,0.972572,0.972572,0.972572,0.972572,0.0,-
508,0.0005027652086475615,0.0,-22.8475,-22.8475,-22.8475,-22.8475,-22.8475,-22.8475,-22.8475,0.0,0.971969,0.971969,0.971969,0.971969,0.971969,0.971969,0.971969,0.0,-
466,0.0005027652086475615,0.0,-21.7133,-21.7133,-21.7133,-21.7133,-21.7133,-21.7133,-21.7133,0.0,1.00456,1.00456,1.00456,1.00456,1.00456,1.00456,1.00456,0.0,-
707,0.0005027652086475615,0.0,-20.5473,-20.5473,-20.5473,-20.5473,-20.5473,-20.5473,-20.5473,0.0,0.97657,0.97657,0.97657,0.97657,0.97657,0.97657,0.97657,0.0,-
63,0.002011060834590246,0.7291829602976473,-23.1446,-23.08637,-22.85345,-22.649425,-22.434025,-22.228405,-22.177,0.3523690847321884,0.97213,0.97248535,0.97390675,0.9803042500000001,0.9853305,0.9900429000000001,0.991221,0.007567614530847873,-
240,0.001005530417295123,0.544942565781019,-24.7226,-24.492625,-23.572725,-22.42285,-21.272975000000002,-20.353075,-20.1231,2.2997499999999995,0.977793,0.9784995000000001,0.9813255000000001,0.984858,0.9883905,0.9912165,0.991923,0.007064999999999988,-
